id,name,industry
1,Google,Tech
2,Microsoft,Tech
3,BlueSky Technologies,Tech
4,EverGreen Energy Solutions,Energy
5,Swift Logistics,Logistics
6,AquaPure Water Systems,Water Purification
7,Bright Horizon Education Group,Education
8,Stellar Foods,Food & Beverage
9,Quantum MedTech,Healthcare & Biotechnology
10,UrbanNest Real Estate,Real Estate
11,NextGen Robotics,Robotics
12,SilverStream Finance,Financial Services
13,EcoMotive Automotive,Automotive
14,PeakFitness Gear,Sports
15,FreshField Organics,Agriculture
16,GlobalLink Communications,Telecommunications
17,PixelPoint Design,Marketing
18,CyberShield Security,Cybersecurity
19,VivaStyle Fashion,Fashion & Apparel
20,TerraNova Construction,Construction & Engineering
21,Zenith Aerospace,Aerospace & Defense
22,HydraTech Chemicals,Chemical Manufacturing
